"time","snowdepth"
"08.11.2016",0
"09.11.2016",0
"10.11.2016",0
"11.11.2016",0
"12.11.2016",2
"13.11.2016",2
"14.11.2016",1
"15.11.2016",1
"16.11.2016",1
"17.11.2016",0
"18.11.2016",0
"19.11.2016",0
"20.11.2016",0
"21.11.2016",0
"22.11.2016",0
"23.11.2016",0
"24.11.2016",0
"25.11.2016",0
"26.11.2016",2
"27.11.2016",2
"28.11.2016",2
"29.11.2016",0
"30.11.2016",0
"01.12.2016",0
"02.12.2016",0
"03.12.2016",5
"04.12.2016",8
"05.12.2016",5
"06.12.2016",5
"07.12.2016",5
"08.12.2016",5
"09.12.2016",5
"10.12.2016",5
"11.12.2016",5
"12.12.2016",5
"13.12.2016",5
"14.12.2016",5
"15.12.2016",5
"16.12.2016",8
"17.12.2016",8
"18.12.2016",11
"19.12.2016",14
"20.12.2016",15
"21.12.2016",14
"22.12.2016",14
"23.12.2016",14
"24.12.2016",15
"25.12.2016",19
"26.12.2016",18
"27.12.2016",19
"28.12.2016",18
"29.12.2016",15
"30.12.2016",19
"31.12.2016",19
"01.01.2017",19
"02.01.2017",19
"03.01.2017",18
"04.01.2017",18
"05.01.2017",18
"06.01.2017",20
"07.01.2017",15
"08.01.2017",15
"09.01.2017",15
"10.01.2017",15
"11.01.2017",22
"12.01.2017",33
"13.01.2017",33
"14.01.2017",33
"15.01.2017",33
"16.01.2017",27
"17.01.2017",28
"18.01.2017",28
"19.01.2017",34
"20.01.2017",34
"21.01.2017",34
"22.01.2017",34
"23.01.2017",26
"24.01.2017",25
"25.01.2017",25
"26.01.2017",26
"27.01.2017",26
"28.01.2017",26
"29.01.2017",26
"30.01.2017",27
"31.01.2017",27
"01.02.2017",27
"02.02.2017",27
"03.02.2017",27
"04.02.2017",17
"05.02.2017",17
"06.02.2017",20
"07.02.2017",17
"08.02.2017",17
"09.02.2017",15
"10.02.2017",15
"11.02.2017",8
"12.02.2017",15
"13.02.2017",12
"14.02.2017",12
"15.02.2017",9
"16.02.2017",10
"17.02.2017",14
"18.02.2017",12
"19.02.2017",10
"20.02.2017",24
"21.02.2017",19
"22.02.2017",12
"23.02.2017",12
"24.02.2017",10
"25.02.2017",10
"26.02.2017",10
"27.02.2017",10
"28.02.2017",10
"01.03.2017",10
"02.03.2017",10
"03.03.2017",10
"04.03.2017",10
"05.03.2017",10
"06.03.2017",10
"07.03.2017",14
"08.03.2017",14
"09.03.2017",14
"10.03.2017",15
"11.03.2017",15
"12.03.2017",20
"13.03.2017",20
"14.03.2017",22
"15.03.2017",22
"16.03.2017",22
"17.03.2017",30
"18.03.2017",30
"19.03.2017",30
"20.03.2017",30
"21.03.2017",30
"22.03.2017",30
"23.03.2017",30
"24.03.2017",35
"25.03.2017",35
"26.03.2017",35
"27.03.2017",35
"28.03.2017",30
